Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71703410,1,"Saturday, December 31, 2011 12:47:11 UTC",38.8127,-122.8050,1.9,2.60,35,"Northern California"
nc,71703395,1,"Saturday, December 31, 2011 11:43:57 UTC",38.8127,-122.8178,1.4,2.70,27,"Northern California"
ak,10383059,1,"Saturday, December 31, 2011 11:09:05 UTC",60.4285,-142.2379,1.0,10.00, 4,"Southern Alaska"
nn,00362604,8,"Saturday, December 31, 2011 10:47:55 UTC",38.1828,-118.1371,2.1,10.40,14,"Nevada"
nn,00362598,8,"Saturday, December 31, 2011 10:26:11 UTC",38.0537,-118.8755,1.7,12.60,15,"Central California"
ak,10383051,2,"Saturday, December 31, 2011 10:23:16 UTC",51.9101,-171.9663,3.0,29.00,17,"Fox Islands, Aleutian Islands, Alaska"
hv,60294836,1,"Saturday, December 31, 2011 10:20:56 UTC",19.1920,-155.4168,2.9,37.70,65,"Island of Hawaii, Hawaii"
ak,10383046,1,"Saturday, December 31, 2011 10:16:17 UTC",63.5102,-150.9003,1.3,11.60, 8,"Central Alaska"
us,c0007f2v,A,"Saturday, December 31, 2011 09:55:00 UTC",14.2728,-91.9917,4.3,60.50,97,"offshore Guatemala"
us,c0007f2m,6,"Saturday, December 31, 2011 09:13:17 UTC",37.9911,44.5597,4.4,18.70,28,"Turkey-Iran-Iraq border region"
nc,71703340,1,"Saturday, December 31, 2011 08:56:54 UTC",38.8335,-122.8103,2.1,2.30,43,"Northern California"
ak,10383035,1,"Saturday, December 31, 2011 08:48:54 UTC",62.6366,-150.9408,1.4,94.40, 9,"Central Alaska"
us,c0007f2d,6,"Saturday, December 31, 2011 08:07:18 UTC",35.4350,-96.5692,3.5,5.00,19,"Oklahoma"
nn,00362581,8,"Saturday, December 31, 2011 07:43:59 UTC",37.5767,-115.0525,1.7,0.20,15,"Nevada"
hv,60294796,1,"Saturday, December 31, 2011 07:06:00 UTC",19.2067,-155.4333,1.9,32.80,28,"Island of Hawaii, Hawaii"
ak,10383027,1,"Saturday, December 31, 2011 06:58:16 UTC",64.9804,-151.6693,1.5,2.10, 6,"Central Alaska"
ak,10383023,1,"Saturday, December 31, 2011 06:29:43 UTC",63.2058,-151.3841,1.3,15.60, 5,"Central Alaska"
us,c0007f1w,6,"Saturday, December 31, 2011 06:14:42 UTC",-1.1514,126.8376,4.9,42.10,38,"Kepulauan Sula, Indonesia"
ci,11048141,0,"Saturday, December 31, 2011 06:14:36 UTC",33.9978,-116.8192,1.1,18.10,36,"Southern California"
ak,10383017,1,"Saturday, December 31, 2011 05:59:40 UTC",64.7262,-146.8812,1.3,5.90,10,"Central Alaska"
us,c0007f1r,7,"Saturday, December 31, 2011 05:39:52 UTC",27.1316,66.3223,4.9,31.30,88,"Pakistan"
ak,10383014,1,"Saturday, December 31, 2011 05:28:45 UTC",62.2307,-145.5138,1.3,33.90, 5,"Central Alaska"
nc,71703280,1,"Saturday, December 31, 2011 05:02:07 UTC",36.8653,-121.5998,2.4,4.60,56,"Central California"
nc,71703275,0,"Saturday, December 31, 2011 04:49:59 UTC",38.7787,-122.7427,1.4,1.60,19,"Northern California"
nc,71703270,1,"Saturday, December 31, 2011 04:30:26 UTC",38.8150,-122.8160,1.5,2.30,31,"Northern California"
nc,71703260,0,"Saturday, December 31, 2011 04:25:37 UTC",38.8760,-122.4825,2.0,2.90,11,"Northern California"
us,c0007f16,5,"Saturday, December 31, 2011 04:05:44 UTC",-1.1077,126.8640,4.8,19.80,42,"Kepulauan Sula, Indonesia"
us,c0007f12,4,"Saturday, December 31, 2011 03:57:03 UTC",-6.0034,127.4488,4.6,73.10,25,"Banda Sea"
us,c0007f23,5,"Saturday, December 31, 2011 03:54:11 UTC",35.5412,-97.2746,2.1,5.00,22,"Oklahoma"
ak,10382990,1,"Saturday, December 31, 2011 03:43:24 UTC",61.8150,-146.8397,1.7,28.30,17,"Southern Alaska"
nc,71703245,0,"Saturday, December 31, 2011 03:41:00 UTC",35.9688,-120.5257,1.0,2.40,13,"Central California"
ak,10382986,1,"Saturday, December 31, 2011 03:30:22 UTC",63.5192,-147.4188,1.4,0.00, 8,"Central Alaska"
hv,60294766,1,"Saturday, December 31, 2011 03:10:08 UTC",19.3527,-155.2170,2.7,7.70,52,"Island of Hawaii, Hawaii"
nc,71703225,0,"Saturday, December 31, 2011 02:37:15 UTC",36.0032,-120.5632,1.0,2.70,11,"Central California"
mb,27876,1,"Saturday, December 31, 2011 02:20:25 UTC",47.3778,-114.3708,1.4,6.20, 7,"western Montana"
nc,71703210,0,"Saturday, December 31, 2011 02:14:36 UTC",38.8055,-122.7428,1.3,1.60,20,"Northern California"
nc,71703200,0,"Saturday, December 31, 2011 01:56:10 UTC",38.7665,-122.7435,1.0,1.90,13,"Northern California"
ak,10382899,2,"Saturday, December 31, 2011 01:30:22 UTC",59.5938,-151.9674,2.3,47.80,19,"Kenai Peninsula, Alaska"
ak,10382897,1,"Saturday, December 31, 2011 01:29:36 UTC",59.8447,-151.8494,2.4,39.80,27,"Kenai Peninsula, Alaska"
pr,11365000,0,"Saturday, December 31, 2011 01:20:30 UTC",17.6669,-66.4233,2.7,28.40, 6,"Puerto Rico region"
ci,11048085,0,"Saturday, December 31, 2011 01:07:27 UTC",32.8078,-116.1732,2.2,3.70,87,"Southern California"
us,c0007ezh,8,"Saturday, December 31, 2011 00:53:56 UTC",1.7346,-77.2232,4.7,106.00,128,"Colombia"
us,c0007ezb,6,"Saturday, December 31, 2011 00:44:46 UTC",-43.4837,172.8231,5.3,10.10,43,"South Island of New Zealand"
nc,71703170,0,"Saturday, December 31, 2011 00:24:28 UTC",37.4140,-121.6688,1.1,4.70, 8,"Northern California"
us,c0007eyz,8,"Saturday, December 31, 2011 00:24:26 UTC",-5.3728,141.5281,4.9,37.50,67,"New Guinea, Papua New Guinea"
ak,10382693,1,"Saturday, December 31, 2011 00:16:56 UTC",61.2642,-149.5704,1.5,31.50,13,"Southern Alaska"
ak,10382690,1,"Saturday, December 31, 2011 00:08:27 UTC",59.8420,-152.6646,2.0,59.90,11,"Southern Alaska"
uu,12302344,2,"Friday, December 30, 2011 23:44:35 UTC",39.4412,-111.2282,1.2,3.30, 7,"Utah"
ak,10382681,1,"Friday, December 30, 2011 23:23:07 UTC",62.2621,-145.7883,1.9,12.90,12,"Central Alaska"
nc,71703145,0,"Friday, December 30, 2011 23:17:30 UTC",39.5750,-120.3767,1.8,30.10, 9,"Northern California"
nc,71703140,0,"Friday, December 30, 2011 23:16:08 UTC",39.4147,-120.1232,1.5,1.20,13,"Northern California"
us,c0007ey9,5,"Friday, December 30, 2011 23:11:07 UTC",36.7476,140.5760,4.8,20.90,105,"near the east coast of Honshu, Japan"
ak,10382670,1,"Friday, December 30, 2011 23:06:13 UTC",65.0888,-148.7110,2.2,4.60,15,"northern Alaska"
ak,10382666,1,"Friday, December 30, 2011 22:58:27 UTC",61.5866,-150.8569,2.0,61.90,14,"Southern Alaska"
ak,10382665,1,"Friday, December 30, 2011 22:57:38 UTC",61.2410,-151.0736,1.6,66.20,14,"Southern Alaska"
nc,71703130,0,"Friday, December 30, 2011 22:55:32 UTC",39.5753,-120.3858,2.1,29.40,16,"Northern California"
nc,71703120,1,"Friday, December 30, 2011 22:35:40 UTC",38.8308,-122.8382,1.9,1.80,35,"Northern California"
ak,10382656,1,"Friday, December 30, 2011 22:32:01 UTC",62.5960,-151.0702,1.8,70.00, 5,"Central Alaska"
us,c0007exi,6,"Friday, December 30, 2011 22:30:20 UTC",-32.4467,-177.1903,4.7,41.10,38,"south of the Kermadec Islands"
nc,71703115,0,"Friday, December 30, 2011 22:25:41 UTC",39.5763,-120.3882,2.1,30.10,18,"Northern California"
nc,71703105,0,"Friday, December 30, 2011 22:15:49 UTC",39.5787,-120.3777,1.6,33.70, 7,"Northern California"
nc,71703095,0,"Friday, December 30, 2011 22:04:07 UTC",39.5757,-120.3843,1.4,31.20, 7,"Northern California"
us,c0007ewd,5,"Friday, December 30, 2011 21:43:19 UTC",-32.5291,-178.2432,5.2,34.60,40,"south of the Kermadec Islands"
nc,71703080,1,"Friday, December 30, 2011 21:15:06 UTC",36.5582,-121.1262,1.7,4.50,18,"Central California"
nc,71703075,0,"Friday, December 30, 2011 21:13:04 UTC",36.5590,-121.1255,1.4,4.50, 9,"Central California"
ci,11048053,0,"Friday, December 30, 2011 21:03:47 UTC",33.9083,-117.0303,1.4,14.30,52,"Southern California"
us,c0007euq,6,"Friday, December 30, 2011 20:51:36 UTC",17.7867,-105.8425,4.2,31.80,124,"off the coast of Jalisco, Mexico"
ci,11048045,0,"Friday, December 30, 2011 20:42:46 UTC",34.1910,-117.4095,1.6,16.00,35,"Greater Los Angeles area, California"
nc,71703040,0,"Friday, December 30, 2011 20:03:47 UTC",37.3260,-122.1032,1.5,0.70,12,"San Francisco Bay area, California"
ci,11048029,0,"Friday, December 30, 2011 19:43:15 UTC",35.7920,-117.4970,1.1,7.80,15,"Southern California"
us,c0007esz,7,"Friday, December 30, 2011 19:11:34 UTC",38.9247,141.9813,4.6,62.50,31,"near the east coast of Honshu, Japan"
